ModelID,LN_IC50
ACH-000504,4.753088
ACH-000780,5.237582
ACH-000637,2.821868
ACH-000196,3.915234
ACH-001016,2.910908
ACH-000062,1.212125
ACH-001106,1.159502
ACH-000359,2.569981
ACH-000711,3.514138
ACH-000776,1.545083
ACH-000763,2.676898
ACH-000301,0.221589
ACH-000596,2.618105
ACH-000515,4.912576
ACH-000439,2.705859
ACH-000265,2.197054
ACH-002029,0.732749
ACH-001653,2.420711
ACH-000882,1.941157
ACH-001625,4.52244
ACH-000304,3.26995
ACH-001064,4.529953
ACH-000334,3.008483
ACH-000082,4.113863
ACH-002062,2.834917
ACH-000768,2.276382
ACH-000684,4.008823
ACH-000136,4.494664
ACH-000414,1.937507
ACH-000372,1.030924
ACH-000267,1.138667
ACH-000294,-0.922491
ACH-000757,1.889844
ACH-000023,1.608452
ACH-000159,3.930793
ACH-000792,2.519298
ACH-000320,-0.156888
ACH-000035,4.27094
ACH-000365,3.679173
ACH-000081,1.564417
ACH-000714,2.771829
ACH-000006,1.792228
ACH-000222,4.304105
ACH-000666,3.022914
ACH-001453,0.621085
ACH-000528,4.101374
ACH-001819,3.203163
ACH-000932,2.385023
ACH-001549,3.705707
ACH-000271,2.204485
ACH-000855,2.311899
ACH-000643,1.611186
ACH-000348,2.332644
ACH-000783,3.04638
ACH-000670,2.223562
ACH-000020,2.248659
ACH-000846,2.708877
ACH-000111,3.483713
ACH-000501,3.476539
ACH-000922,2.805137
ACH-000793,1.883533
ACH-000818,7.283865
ACH-000571,4.216421
ACH-000679,3.535927
ACH-000567,2.659304
ACH-000362,0.860904
ACH-000918,2.204699
ACH-000816,2.246511
ACH-002283,1.784453
ACH-000463,0.592388
ACH-000319,4.140794
ACH-000040,3.425115
ACH-000211,3.177452
ACH-000644,2.225481
ACH-000178,2.303893
ACH-000201,2.870538
ACH-000939,3.457597
ACH-000900,2.349406
ACH-001384,6.665132
ACH-000521,2.78422
ACH-000926,1.458473
ACH-000790,2.392971
ACH-000691,2.339012
ACH-000105,2.065256
ACH-000586,3.16985
ACH-000572,1.403442
ACH-000148,3.652914
ACH-000986,3.277347
ACH-000859,3.315162
ACH-000636,1.196295
ACH-000363,5.788886
ACH-001344,3.990601
ACH-000087,2.08155
ACH-000835,3.628586
ACH-000930,2.724521
ACH-000599,2.905759
ACH-000290,3.276313
ACH-000408,4.394558
ACH-000672,4.025407
ACH-000364,2.184061
ACH-000345,3.43896
ACH-000416,1.400326
ACH-001227,1.421747
ACH-000354,1.742027
ACH-000323,2.786374
ACH-000885,2.818256
ACH-001368,1.313918
ACH-000894,2.461744
ACH-000226,1.752106
ACH-000120,-0.446759
ACH-000977,2.176969
ACH-000668,3.086685
ACH-001519,2.272497
ACH-000827,1.483184
ACH-000189,2.264836
ACH-000157,-0.377161
ACH-002040,0.325783
ACH-000929,0.480413
ACH-000075,3.619314
ACH-000488,2.299443
ACH-001709,3.180619
ACH-000146,1.042722
ACH-000386,2.067623
ACH-000244,3.509317
ACH-000352,4.765156
ACH-000694,5.279996
ACH-000332,4.902658
ACH-001703,1.446233
ACH-000579,0.657358
ACH-000657,0.218938
ACH-000886,3.379144
ACH-000680,1.565929
ACH-000958,0.752973
ACH-000609,3.665399
ACH-001642,1.76504
ACH-000802,0.352199
ACH-000819,2.67901
ACH-000766,1.013916
ACH-001496,3.388881
ACH-000804,2.645419
ACH-001151,2.192159
ACH-000118,2.392493
ACH-000911,2.760589
ACH-000100,2.541317
ACH-000703,5.236944
ACH-000625,-1.294611
ACH-000282,1.612628
ACH-000979,5.36216
ACH-000963,1.734941
ACH-000295,2.040768
ACH-000518,2.918979
ACH-000403,0.762292
ACH-000902,4.122496
ACH-000626,3.198639
ACH-000108,3.539198
ACH-001373,4.633322
ACH-002214,1.427986
ACH-000457,0.605243
ACH-001500,2.731359
ACH-001603,2.921949
ACH-000337,1.324065
ACH-000656,2.778174
ACH-000373,-0.078334
ACH-000232,2.691323
ACH-000874,2.597317
ACH-000090,4.557794
ACH-000565,1.108989
ACH-000248,3.187267
ACH-000257,4.281388
ACH-000681,0.932858
ACH-000015,1.888476
ACH-000437,3.566688
ACH-000371,3.232347
ACH-000716,2.629973
ACH-001307,3.018803
ACH-000662,2.77341
ACH-000890,2.897883
ACH-000876,3.196816
ACH-001306,3.814717
ACH-000538,0.766052
ACH-000573,3.955915
ACH-000607,2.963915
ACH-000722,1.666839
ACH-000417,5.40745
ACH-001345,2.18362
ACH-000452,3.113137
ACH-000789,4.370175
ACH-000346,0.452936
ACH-000236,1.5528
ACH-001674,1.975376
ACH-000103,1.646844
ACH-000838,1.976817
ACH-000217,4.055601
ACH-000473,2.149629
ACH-000614,1.682083
ACH-000733,7.004489
ACH-000147,3.379543
ACH-000002,1.029637
ACH-000551,3.122955
ACH-000091,6.118828
ACH-001418,2.920704
ACH-000744,2.590621
ACH-000558,2.902819
ACH-000706,3.814318
ACH-000106,2.658193
ACH-000985,0.060888
ACH-000809,2.878708
ACH-000061,4.989918
ACH-000613,3.35956
ACH-002052,2.345725
ACH-000667,1.202704
ACH-000674,3.632928
ACH-000788,1.825021
ACH-000456,2.886137
ACH-000817,1.902528
ACH-000628,5.779028
ACH-000058,3.471113
ACH-000059,2.771602
ACH-000478,3.543431
ACH-000353,1.079136
ACH-000987,2.899073
ACH-000259,1.498874
ACH-000787,2.868463
ACH-000853,3.689609
ACH-000293,4.567752
ACH-000104,3.131476
ACH-000276,5.537368
ACH-000875,3.792224
ACH-001341,4.273833
ACH-000212,3.174981
ACH-000174,2.214807
ACH-000469,4.129839
ACH-000429,4.93691
ACH-000940,4.130485
ACH-000476,3.343927
ACH-000981,2.459215
ACH-000482,3.300471
ACH-000475,3.49486
ACH-000431,2.818646
ACH-000569,3.627396
ACH-000524,3.994165
ACH-000433,2.65771
ACH-000245,3.183264
ACH-000719,4.293874
ACH-001655,4.883301
ACH-000281,3.012139
ACH-000841,2.274116
ACH-000896,3.535977
ACH-000948,2.589829
ACH-000653,2.485998
ACH-001530,4.704589
ACH-000552,0.017898
ACH-000585,2.587768
ACH-000318,2.97118
ACH-000124,1.353133
ACH-000587,1.355902
ACH-000443,4.889339
ACH-000250,4.114329
ACH-000292,2.811681
ACH-001528,1.784664
ACH-000621,3.886164
ACH-000852,3.530476
ACH-000812,0.039433
ACH-000825,3.075035
ACH-000366,2.488121
ACH-000546,3.042653
ACH-000441,-0.424112
ACH-001497,0.685775
ACH-002215,2.7692
ACH-000181,2.870719
ACH-000740,4.79027
ACH-000098,4.756011
ACH-000823,2.347486
ACH-001193,4.16417
ACH-000269,1.487532
ACH-000144,2.354768
ACH-000045,0.975964
ACH-000449,2.165244
ACH-000361,4.001475
ACH-001321,3.822004
ACH-000092,3.058845
ACH-001350,0.305514
ACH-000145,3.359041
ACH-000450,-0.091014
ACH-000156,1.978197
ACH-000973,3.110832
ACH-000432,1.514177
ACH-000893,3.809289
ACH-000584,1.837849
ACH-000074,0.174202
ACH-000341,1.938525
ACH-000767,4.816317
ACH-000784,4.383475
ACH-000207,2.134689
ACH-000527,3.693249
ACH-000708,2.325228
ACH-000121,1.404245
ACH-000177,4.833585
ACH-000428,1.813805
ACH-000187,3.576963
ACH-000704,4.524719
ACH-000962,2.997925
ACH-000976,2.468216
ACH-000647,2.410762
ACH-000410,5.248115
ACH-000213,2.236774
ACH-000950,0.871887
ACH-000631,3.569342
ACH-000424,2.495484
ACH-000525,2.359738
ACH-000800,2.673944
ACH-000522,4.961622
ACH-000168,0.90931
ACH-000822,3.483841
ACH-000389,2.604387
ACH-000204,3.911328
ACH-000968,0.82945
ACH-000794,2.821511
ACH-000745,2.555407
ACH-001711,2.886493
ACH-000563,0.518782
ACH-000955,2.518578
ACH-000995,2.668248
ACH-000335,2.829448
ACH-000770,1.750338
ACH-002291,3.810537
ACH-000192,5.439301
ACH-000978,3.968483
ACH-000913,3.703933
ACH-000664,1.198811
ACH-000188,3.632675
ACH-000383,2.888518
ACH-000803,3.119611
ACH-000883,5.759544
ACH-000532,2.179553
ACH-001086,3.061854
ACH-000374,1.498065
ACH-000905,2.429376
ACH-000698,2.643517
ACH-000308,3.707015
ACH-000367,5.655812
ACH-000252,2.540387
ACH-000169,3.614523
ACH-000857,3.240983
ACH-000067,4.86167
ACH-000112,-0.008863
ACH-000243,2.588494
ACH-001328,2.252292
ACH-000965,1.685494
ACH-000688,2.830326
ACH-000639,2.762147
ACH-000811,5.583859
ACH-000945,2.996963
ACH-001274,1.820149
ACH-000138,2.289003
ACH-000200,6.771716
ACH-000481,3.771432
ACH-000530,3.521943
ACH-000556,3.383243
ACH-000171,4.73529
ACH-000055,2.357613
